match_status,distance_m,ienc_name,ienc_waterway,ienc_lat,ienc_lon,ienc_length_m,ienc_width_m,ienc_rise_m,app_id,app_name,app_lat,app_lon
no_match,39326.3,Diepenbeek duwvaartsas,Albertkanaal,50.9379,5.432449,135.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,39515.2,Bachhausen,Main-Donau-Kanal,49.152655,11.435774,190.0,12.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,40408.1,Sluiskolk sluis 11,Netherlands waterway,51.395746,5.727027,,9.8,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,40897.8,Sportbootschleuse Steinbach,Main,50.011836,9.606412,12.5,2.5,,w_osm_1783525869,Schleuse Garstadt,49.9769662,10.1759695
no_match,40951.2,Steinbach,Main,50.010942,9.605537,299.1,12.0,,w_osm_1783525869,Schleuse Garstadt,49.9769662,10.1759695
no_match,41704.6,Sluiskolk voorsluis Eefde,Netherlands waterway,52.159934,6.232164,200.0,24.0,,w_osm_734083208,Waardse Sluis,51.8514327,5.8856638
no_match,41857.7,Zuidkolk sluis Eefde,Netherlands waterway,52.160363,6.235084,140.0,12.0,,w_osm_734083208,Waardse Sluis,51.8514327,5.8856638
no_match,41886.5,Noordkolk sluis Eefde,Netherlands waterway,52.160693,6.235051,141.5,12.5,,w_osm_734083208,Waardse Sluis,51.8514327,5.8856638
no_match,42470.8,Mainkur,Main,50.137115,8.791339,315.0,12.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,42492.9,Rothenfels,Main,49.898963,9.589751,298.45,12.0,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,42564.3,Sportbootschleuse Rothenfels,Main,49.900208,9.588673,12.5,2.5,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,43217.6,Genk noordersas,Albertkanaal,50.936289,5.491971,135.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,43231.4,Genk middensas,Albertkanaal,50.935912,5.491935,136.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,43293.0,Genk duwvaartsluis,Albertkanaal,50.93527,5.49246,136.0,15.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,43651.2,Lengfurt,Main,49.811213,9.594937,300.08,11.98,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,43741.0,Sportbootschleuse Lengfurt,Main,49.811495,9.59352,12.4,2.51,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
